Category,Location,Incident,Date/Time
Ogling/Facial Expressions/Staring,"Chapagaun 44700, Nepal"," it was after my tutorial class while i was returning home a group of girls were teasing me and giving a sign of sexual invitation  
						  More Information »
« Less Information
","22:00 Aug 14, 2015"
Taking pictures,"Mumbai, Maharashtra, India"," A man was tried to grope me in the train station  
						  More Information »
« Less Information
","21:00 Aug 14, 2015"
Sexual Invites,"Dombivli, CST Side E-W FOB, Vishnu Nagar, Dombivli West, Dombivli, Maharashtra 421201, India"," i was sexual invited by 3rd person  
						  More Information »
« Less Information
","20:00 Aug 14, 2015"
Ogling/Facial Expressions/Staring,"Nehru Park 2, Shivaji Nagar, Indore, Madhya Pradesh, India"," MY MOTHER AND I WENT FOR SHOPPING. MY MOTHER WAS BUSY LOOKING AT THE DIFFERENT DRESSES WHEN I NOTICED A STRANGER WAS STARING AT HER AND FOLLOWING...  
						  More Information »
« Less Information
","16:00 Aug 14, 2015"
Catcalls/Whistles,"Grant Road, Mumbai"," A man tried to grab me in public  
						  More Information »
« Less Information
","14:00 Aug 14, 2015"
Touching /Groping,"Vile Parle Railway Station, Overpass Bridge, Park Road, Vile Parle, Mumbai, Maharashtra 400057, India"," Man followed from the platform and touched thrice indecently.  
						  More Information »
« Less Information
","12:35 Aug 14, 2015"
Touching /Groping,"Bagbazar, Kathmandu 44600, Nepal"," I was in the bus just then a boy aged 28 or 30 approx tried to touch my shoulder. I felt so awkward that I drop off the bus,  
						  More Information »
« Less Information
","06:35 Aug 14, 2015"
Touching /Groping,"Grant Rd, KG Halli, Shanthala Nagar, Sampangi Rama Nagar, Bengaluru, Karnataka 560001, India"," In my apartment, I stayed with my friends. In morning, there was a guy sitting next to my friend, I was shocked. The moment he started touching...  
						  More Information »
« Less Information
","23:00 Aug 13, 2015"
Ogling/Facial Expressions/Staring,"Jabalpur, MP SH 22, South Civil Lines, Jabalpur, Madhya Pradesh 482001, India"," the place is surronded by goons and very unsafe place for travel  
						  More Information »
« Less Information
","19:00 Aug 13, 2015"
Catcalls/Whistles,"Aksa Beach, Dharvali, Aksa Gaon, Madh, Mumbai, Maharashtra 400061"," i was walking by the seashore with my friends all of the sudden few boys came and commented on me.  
						  More Information »
« Less Information
","18:00 Aug 13, 2015"
Stalking,"Gongabu, 44600, Nepal"," i was stalked by a man who looks wired and it was too scary and i share this with my friends and family  
						  More Information »
« Less Information
","17:00 Aug 13, 2015"
Touching /Groping,"Ason, Kathmandu 44600, Nepal"," When we went shopping for sari there the shopkeeper touched my sister in an inappropriate way when he was helping her with sari.  
						  More Information »
« Less Information
","16:20 Aug 13, 2015"
Commenting,"Mapusa, Goa, India"," In Mapusa to Pernem buses  
						  More Information »
« Less Information
","13:00 Aug 13, 2015"
Catcalls/Whistles,Mumbai," A man commented on my figure while i was passing  
						  More Information »
« Less Information
","11:00 Aug 13, 2015"
Taking pictures,"Lainchaur, Kathmandu 44600, Nepal"," i had gone to my fren place on the day of Teej. a lot of people have gathered there. one of the person there was staring me there later he started...  
						  More Information »
« Less Information
","18:00 Aug 12, 2015"
Commenting,"Mhatre Wadi Rd, Gaothan, Virar West, Virar, Maharashtra 401303, India"," i was tried to be sexually harassed while waitung on the platform for a friend  
						  More Information »
« Less Information
","18:00 Aug 12, 2015"
Commenting,"pedder road, Mumbai, Maharashtra 400026, India"," i was standing on the bus stop with my friends. it was around 3-4. 2 boys came in a car and one commented \'hey beautiful\' and went. it was...  
						  More Information »
« Less Information
","15:00 Aug 12, 2015"
Touching /Groping,"crp, Bhubaneswar, Odisha 751012, India"," i was traveling in auto after sone distance a guy joined in, there were two other ladies in the auto that guy took the seat beside me and started...  
						  More Information »
« Less Information
","14:00 Aug 12, 2015"
Touching /Groping,"Mithibai College, Suvarna Nagar, Vile Parle, Mumbai, Maharashtra 400056"," in a bus journey from malad to nm college boys standing near me touching my body n groping on me.  
						  More Information »
« Less Information
","13:31 Aug 12, 2015"
Stalking,"Pocket K, Sarita Vihar, New Delhi, Delhi, India"," a male member kept forcing me to go out with me, verbally as well as on mails. he would also try and talk to me outside the workplace and follow...  
						  More Information »
« Less Information
","11:00 Aug 12, 2015"
Commenting,"Shastri Nagar, Kalina, Santacruz East, Mumbai, Maharashtra, India"," i was walking by the roadside all of the sudden some men on the bike commented on me  
						  More Information »
« Less Information
","03:00 Aug 12, 2015"
Touching /Groping,"Charni Road, Mumbai"," A man was touching my friend's body in a crowded bus.  
						  More Information »
« Less Information
","18:00 Aug 11, 2015"
Touching /Groping,"Thane, Maharashtra  India"," thane is a really busy station hence the staircase is always packed with people coming and going on one such day when i was getting down to...  
						  More Information »
« Less Information
","18:00 Aug 11, 2015"
Commenting,"Ratna Park Micro Bus Stop, Ratna Park Path, Kathmandu 44600, Nepal"," when i was travelling in a public vehicle with my friends we were starred by a passenger next to us.after sometime he start commenting on us...  
						  More Information »
« Less Information
","13:00 Aug 11, 2015"
Poor / No Street Lighting,"Raniganj , West Bengal, India"," A gang of goon looted me outside the Raniganj station  
						  More Information »
« Less Information
","23:00 Aug 10, 2015"
Stalking,"Kutubahal, Kathmandu 44600, Nepal"," i was going to the shop to buy some groceries item at evening time. some boys were following me and were just commenting to me. i didn't know...  
						  More Information »
« Less Information
","18:00 Aug 10, 2015"
Stalking,"Lainchaur, Kathmandu 44600, Nepal"," one day when me and my younger brother was walking in the street some boys followed us. we were scared. they whistles and started to walk briskly....  
						  More Information »
« Less Information
","16:00 Aug 10, 2015"
Taking pictures,"Kathmandu 44600, Nepal"," One of my classmate in tuition class took my pictures without my knowledge. Later when I looked his phone I found my pictures of mine.  
						  More Information »
« Less Information
","14:30 Aug 10, 2015"
Commenting,"Kathmandu 44600, Nepal"," When I was walking in the street one ma commented "" you have a big thing (breast) though you are a child"". Then I scolded him for commenting...  
						  More Information »
« Less Information
","07:10 Aug 10, 2015"
Rape / Sexual Assault,"Ring Road, Kathmandu 44600, Nepal"," one of my friend went to meet her friends. her friends were good friends and took her to hotel where they had beer and they raped her.  
						  More Information »
« Less Information
","19:00 Aug 09, 2015"
Stalking,"Shantinagar, Kathmandu 44600, Nepal"," It was winter season. I was coming home at evening time. I was all alone. I didn't get vehicle so planned to walk. I came home by short route...  
						  More Information »
« Less Information
","19:00 Aug 09, 2015"
Catcalls/Whistles,"Kumarigal, Kathmandu 44600, Nepal"," When I was walking at road a group of boys were teasing girls who passed by. they were whistling, singing songs and teasing girls  
						  More Information »
« Less Information
","18:00 Aug 09, 2015"
Catcalls/Whistles,"Dhumbarahi, Kathmandu 44600, Nepal"," While my friend was walking from Dhumbarahi chowk to Dhumbarahi temple,a group of boys followed her and started to tease her.After sometime...  
						  More Information »
« Less Information
","18:00 Aug 09, 2015"
Commenting,"Samakhusi, Kathmandu 44600, Nepal"," i am a boy .i was teased by a people then i react with it and they started fighting with me  
						  More Information »
« Less Information
","18:00 Aug 09, 2015"
Commenting,Mumbai," I was on my way to meet a friend and 2 men passed nasty comments as I crossed them.  
						  More Information »
« Less Information
","17:00 Aug 09, 2015"
Ogling/Facial Expressions/Staring,"Kimdol, Kathmandu 44600, Nepal"," when i was visiting white gumba with my friends three boys on the way commented on us  
						  More Information »
« Less Information
","17:00 Aug 09, 2015"
Touching /Groping,"Narayanhiti, Kathmandu 44600, Nepal"," while travelling in a public vehicle, a guy touched me in a private part.  
						  More Information »
« Less Information
","16:00 Aug 09, 2015"
Touching /Groping,"Sanothimi, Madhyapur Thimi 44600, Nepal"," a man touched me while i was travelling in the local bus  
						  More Information »
« Less Information
","13:00 Aug 09, 2015"
Catcalls/Whistles,"Nayabasti, Patan 44700, Nepal"," When me and my friend were going to another friend's home.  
						  More Information »
« Less Information
","13:00 Aug 09, 2015"
Catcalls/Whistles,"Lagankhel, Patan, Nepal"," when my sister was coming from college. some boys followed her. She got so scared that she called our dad to receive her.  
						  More Information »
« Less Information
","10:00 Aug 09, 2015"
Stalking,"Rajiv Chowk Metro Station, Connaught Place, New Delhi, Delhi 110001, India"," I was waiting for my friend inside the station where a guy saw me and called me towards him through his gestures and even winked, I ignored...  
						  More Information »
« Less Information
","10:00 Aug 09, 2015"
Catcalls/Whistles,"Narayanhiti, Kathmandu 44600, Nepal"," when i was returning home from college a boy commented on me and whistled  
						  More Information »
« Less Information
","06:00 Aug 09, 2015"
Touching /Groping,"Lokanthali, Madhyapur Thimi 44600, Nepal"," When I was returning back home in the bus I saw a girl being touched by a man for quite long time. The girl shouted back and everyone in the...  
						  More Information »
« Less Information
","16:35 Aug 08, 2015"
Catcalls/Whistles,"Andheri, Railway Colony, Andheri East, Andheri, Maharashtra 400053, India"," Efteasers  
						  More Information »
« Less Information
","07:45 Aug 08, 2015"
Catcalls/Whistles,"Breach Candy, Mumbai"," A guy was continuously whistling at a girl.  
						  More Information »
« Less Information
","16:00 Aug 07, 2015"
Touching /Groping,"Mhada Colony (Majas), Kokan Nagar, Indira Nagar, Jogeshwari East, Mumbai, Maharashtra 400093"," One boy grabbed my hand  
						  More Information »
« Less Information
","15:00 Aug 07, 2015"
Ogling/Facial Expressions/Staring,"Swayambhu, Kathmandu 44600, Nepal"," When I was going to college, a boy in the bus stared at me continuously and tried to come close to me and touch me.  
						  More Information »
« Less Information
","06:35 Aug 07, 2015"
Taking pictures,Mumbai," I was sexually harassed at a public place  
						  More Information »
« Less Information
","18:00 Aug 06, 2015"
Touching /Groping,"Brigade Road, Brigade Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025, India"," I was sexually harassed, a guy touched me at unwanted places  
						  More Information »
« Less Information
","23:00 Aug 05, 2015"
Chain Snatching / Robbery,"Kathmandu 44600, Nepal"," one person snatch the chain  
						  More Information »
« Less Information
","19:00 Aug 05, 2015"
Touching /Groping,"Kurla, Mumbai, Maharashtra, India"," once travelling in rick beside a guy around 15-16 years was sitting next to me,during the course of travel he was trying to come close to me...  
						  More Information »
« Less Information
","19:00 Aug 05, 2015"
Sexual Invites,Mumbai," A teenage boy harrassed me in public.  
						  More Information »
« Less Information
","17:00 Aug 05, 2015"
Ogling/Facial Expressions/Staring,"Satyan Nagar, Pappanamcode, Thiruvananthapuram, Kerala, India"," Walking on the street will elicit unwanted attention, in the form of sexual objectification through commentary and ogling.  
						  More Information »
« Less Information
","15:13 Aug 05, 2015"
Touching /Groping,"Basundhara, Ring Road, Kathmandu 44600, Nepal"," I was travelling in public vehicle, I was unnecessarily touched by an unknown person. I felt uncomfortable and called the nearby sitting person....  
						  More Information »
« Less Information
","11:12 Aug 05, 2015"
Commenting,Mumbai," A man came too close to a friend and myself and when we moved away, he started accusing us in public that we go to other places with the excuse...  
						  More Information »
« Less Information
","10:00 Aug 05, 2015"
Catcalls/Whistles,Mumbai," A drunk man came and stood next to me and my friend and started passing comments saying that we're escorts.  
						  More Information »
« Less Information
","10:00 Aug 05, 2015"
Touching /Groping,"Borivali, Lokmanya Tilak Rd, Datta Park, Borivali, Mumbai, Maharashtra 400066, India"," Touching, groping  
						  More Information »
« Less Information
","10:00 Aug 05, 2015"
Catcalls/Whistles,Mumbai," A man first commented and then touched/groped me.  
						  More Information »
« Less Information
","19:00 Aug 04, 2015"
Catcalls/Whistles,Mumbai," A man first commented and then touched/groped me.  
						  More Information »
« Less Information
","19:00 Aug 04, 2015"
Commenting,"Patan, Nepal"," When I was walking by bhatbateni supermarket. I saw a boy teasing a girl who was passing by him,  
						  More Information »
« Less Information
","17:40 Aug 04, 2015"
Catcalls/Whistles,Mumbai," Three boys on a bike started harrassing me while I was in the cab on my way to college. I noted their number plate and gave it to the police.  
						  More Information »
« Less Information
","08:00 Aug 04, 2015"
Catcalls/Whistles,Mumbai," I was out shopping and walking on the streets, i saw a group of boys commenting and singing to a girl who wasn't feeling comfortable  
						  More Information »
« Less Information
","20:30 Aug 03, 2015"
Touching /Groping,"Kapan, 44600, Nepal"," when i was traveling in bus i was alone and the boy who was sitting beside me he try to touch me. i feel insecure and i was scared too.  
						  More Information »
« Less Information
","15:00 Aug 03, 2015"
Catcalls/Whistles,Mumbai," A man touched me inappropriately in the bus.  
						  More Information »
« Less Information
","14:00 Aug 03, 2015"
Rape / Sexual Assault,"GOPINATH RESIDENCY, Asannagar, Krishnanagar, West Bengal 741101, India"," Once in my computer classs a senior tried to dope me  
						  More Information »
« Less Information
","11:00 Aug 03, 2015"
Commenting,"Peddar Road, Mumbai"," Inappropriate comments were passed by 2 boys outside my college.  
						  More Information »
« Less Information
","07:00 Aug 03, 2015"
Catcalls/Whistles,"Cuff Parade, Colaba, Mumbai"," A group of boys started commenting on my figure.  
						  More Information »
« Less Information
","07:00 Aug 03, 2015"
Commenting,Mumbai," I was waiting for someone outside a restaurant when some boys came up to me and kept asking me things and staring  
						  More Information »
« Less Information
","20:00 Aug 02, 2015"
Catcalls/Whistles,Mumbai," I was hanging out with my friends when a bunch of guys started catcalling us  
						  More Information »
« Less Information
","17:00 Aug 02, 2015"
Stalking,"Kathmandu 44600, Nepal"," When I was going to my hostel a group of guys followed me and teased me. I felt sad all day.  
						  More Information »
« Less Information
","16:40 Aug 02, 2015"
Catcalls/Whistles,Mumbai," A man whistled at me while I was shopping with my family.  
						  More Information »
« Less Information
","14:00 Aug 02, 2015"
Touching /Groping,Mumbai," While a woman was getting onto a train  
						  More Information »
« Less Information
","08:00 Aug 02, 2015"
Stalking,"Som Vihar, RK Puram, New Delhi, Delhi 110022, India"," Phone stalked for over a year by a guy I have recollection interacting with. He works at a restaurant in my society, got my number through work...  
						  More Information »
« Less Information
","23:28 Aug 01, 2015"
Taking pictures,Mumbai," While I was at the market, there was very poor lighting and a few boys started commenting and touching me.  
						  More Information »
« Less Information
","20:00 Aug 01, 2015"
Catcalls/Whistles,Mumbai," Two boys were whistling as the a girl was passing by.  
						  More Information »
« Less Information
","15:00 Aug 01, 2015"
Catcalls/Whistles,"Besi Gaun, Gokarneshwor 44600, Nepal"," once, when i was with my sisters at swimming pool, one guy was starring at me i donno who was he but seems like life guard or coach. he was...  
						  More Information »
« Less Information
","15:00 Aug 01, 2015"
Catcalls/Whistles,Mumbai," A man called out to me and passed comments while I was waiting for my bus at the bus stop.  
						  More Information »
« Less Information
","08:00 Aug 01, 2015"
Catcalls/Whistles,Mumbai," Catcalling in public transport  
						  More Information »
« Less Information
","07:00 Aug 01, 2015"
Commenting,Mumbai," A man was staring at me one night, i think he was drunk  
						  More Information »
« Less Information
","21:00 Jul 31, 2015"
Sexual Invites,"Kibera slum, Nairobi kenya, silanga"," The man used to abuse the girl oftenly buying her and other girls chips and sweets.  
						  More Information »
« Less Information
","15:00 Jul 31, 2015"
Catcalls/Whistles,Mumbai," It happened on the station while I was waiting for a train a man starting touching himself staring at all us women.  
						  More Information »
« Less Information
","18:05 Jul 30, 2015"
Commenting,"Basantapur, Kathmandu 44600, Nepal"," I was wearing shorts. Some group of boys passed me comment on the basis of what I wore. It was embarrassing and I felt bad.  
						  More Information »
« Less Information
","14:00 Jul 30, 2015"
Catcalls/Whistles,Mumbai," A man, on the station was staring at women and touching himself.  
						  More Information »
« Less Information
","07:00 Jul 30, 2015"
Taking pictures,"Bapuji Nagar, Thane West, Thane, Maharashtra 400601, India"," when i was crossing the road some group of guys taking my pictures  
						  More Information »
« Less Information
","21:05 Jul 29, 2015"
Touching /Groping,University of Delhi," it was around 8 pm, i got off at the vishwavidyalaya metro station and was getting back to my hostel. i saw a guy following me. after a few...  
						  More Information »
« Less Information
","20:00 Jul 29, 2015"
Commenting,Mumbai," In the bus, a man kept brushing himself against a girl.  
						  More Information »
« Less Information
","07:00 Jul 29, 2015"
Taking pictures,"Hazrataganj Crossing Bus Stop, Ashok Marg, Hazratganj, Lucknow, Uttar Pradesh 226001, India"," A boy commented when I was sleeping on terrace from the under construction multiplex  
						  More Information »
« Less Information
","23:00 Jul 28, 2015"
Commenting,Mumbai," A man passed dirty comments on my bdy  
						  More Information »
« Less Information
","18:00 Jul 28, 2015"
Indecent exposure,"New Delhi, Bhavbhuti Marg, Kamla Market, Ajmeri Gate, New Delhi, Delhi 110006, India"," a year ago i was in Dehli railway station and a man exposed himself to a group of women I was sitting with.  reaction; the ladies ignored him...  
						  More Information »
« Less Information
","17:10 Jul 28, 2015"
Commenting,"Hathibaug, Mazgaon, Mumbai, Maharashtra 400010, India"," As I was coming back home from college, a man stared at me and started winking at me, I ignored and moved ahead.  
						  More Information »
« Less Information
","15:00 Jul 28, 2015"
Touching /Groping,"Chakrapath Bus Stop, Maharajgunj Rd, Kathmandu 44600, Nepal"," When I was traveling by bus we hear a girl screaming when everyone looked back she slapped the boy, she said that he was touching her thigh...  
						  More Information »
« Less Information
","12:35 Jul 28, 2015"
Catcalls/Whistles,"Khidukpada, Kalamboli, New Panvel, Navi Mumbai, Maharashtra 410218, India"," I was On my way to college and i saw group of people commenting on girls passing by.  
						  More Information »
« Less Information
","11:00 Jul 28, 2015"
Touching /Groping,"New Baneshwor Rd, Kathmandu 44600, Nepal"," I was sitting next to door in Nepal yatayat. A man was standing in stair of bus door facing me. His body part touched my hand, it was so unpleasant...  
						  More Information »
« Less Information
","17:30 Jul 26, 2015"
Ogling/Facial Expressions/Staring,"Block I, Gokhale Vihar, Butler Colony, Lucknow, Uttar Pradesh 226001, India"," I was in the Buddh Bazaar shopping when a man  was whistling and walking by my side giving wrong expressions  
						  More Information »
« Less Information
","17:00 Jul 26, 2015"
Touching /Groping,"Rajpath Area, Central Secretariat, New Delhi, Delhi, India"," It feels unsafe to travel alone after an incident:'(  
						  More Information »
« Less Information
","16:41 Jul 25, 2015"
Touching /Groping,"Kathmandu 44600, Nepal"," The bus was very pack. A man there came close to my sister and touched her.  
						  More Information »
« Less Information
","14:45 Jul 25, 2015"
Ogling/Facial Expressions/Staring,"Fairfax, OH, USA"," While jogging in my neighborhood I have been catcalled, stalked by car and on foot, had men scream at me for ignoring their whistles and comments...  
						  More Information »
« Less Information
","11:29 Jul 25, 2015"
Catcalls/Whistles,Kerala," 2-3 boys started harrassing my friednas we both were walking on the street  
						  More Information »
« Less Information
","17:00 Jul 24, 2015"
Indecent exposure,"Koramangala 6 Block, Koramangala, Bengaluru, Karnataka, India"," This is one of the most talked about incident to be heared from the people living in the vicinity of the 5th block colony, koramangala, bangalore....  
						  More Information »
« Less Information
","17:00 Jul 24, 2015"
Catcalls/Whistles,"Churchgate, Mumbai"," I saw 2-3 boys teasing a girl near the station.  
						  More Information »
« Less Information
","16:00 Jul 24, 2015"
Taking pictures,"Dangui Colony, Mapusa, Goa 403507, India"," While walking some riders stare, whistle, come close, etc  
						  More Information »
« Less Information
","13:00 Jul 24, 2015"
Touching /Groping,Mumbai," A man tried to brush his penis off of a woman's shoulder in the bus.  
						  More Information »
« Less Information
","15:00 Jul 23, 2015"
Catcalls/Whistles,"Sunakothi, 44700, Nepal"," my classmate girl hit me with pebbles and teases me  
						  More Information »
« Less Information
","14:00 Jul 23, 2015"
Ogling/Facial Expressions/Staring,"Dhulwad, Maharashtra 422103, India"," it happened when i was walking on the railway station  
						  More Information »
« Less Information
","13:00 Jul 23, 2015"
Ogling/Facial Expressions/Staring,"लायन्स प्रतिक्षालय, बौद्ध सडक, गोकर्णेश्वर 44600, Nepal"," once i was going for shopping with my friend at boudhha mall and there was a group of guys. i was unknown about those boys. one boy was just...  
						  More Information »
« Less Information
","15:00 Jul 22, 2015"
Ogling/Facial Expressions/Staring,"Bardiya, Nepal"," The incident took place in my village where 16 year old girl was first verbally harassed by the boy and at last he raped her while the girl...  
						  More Information »
« Less Information
","13:35 Jul 22, 2015"
Catcalls/Whistles,"CST, Mumbai"," A man was commenting on my figure while I was waiting for my train and made vulgar faces and gestures.  
						  More Information »
« Less Information
","10:00 Jul 22, 2015"
Catcalls/Whistles,"CST, Mumbai"," A man was commenting on my figure while I was waiting for my train and made vulgar faces and gestures.  
						  More Information »
« Less Information
","10:00 Jul 22, 2015"
Commenting,"Shyam Nagar, Jogeshwari East, Mumbai, Maharashtra, India"," I was harassed in my community (Indira Nagar)  
						  More Information »
« Less Information
","20:00 Jul 21, 2015"
Stalking,"Sector 2 Charkop, Kandivali West, Mumbai, Maharashtra 400067, India"," a man working in a factory near to my workplace used to follow my auto regularly  
						  More Information »
« Less Information
","19:00 Jul 21, 2015"
Ogling/Facial Expressions/Staring,"Shyam Nagar, Jogeshwari East, Mumbai, Maharashtra, India"," Someone passed a comment at me in my locality, near the temple at Trimukti Seva Sangh chawl  
						  More Information »
« Less Information
","18:00 Jul 21, 2015"
Taking pictures,"Sani Gaon, Mount Abu, Rajasthan 307501, India"," I was in a bus where a man sitting in front of me was trying to click my pictures in his mobile phone. A lady sitting next to him shouted on...  
						  More Information »
« Less Information
","17:00 Jul 21, 2015"
Touching /Groping,"Baneshwor Height, Kathmandu 44600, Nepal"," A man standing beside me in the bus (Nepal Yatayat) tried to touch my hand. I felt uncomfortable about it.  
						  More Information »
« Less Information
","17:00 Jul 21, 2015"
Ogling/Facial Expressions/Staring,"Kathmandu 44600, Nepal"," My friend told me that one old man next to her in the bus who was staring for a quite long time to the girl opposite of them who was wearing...  
						  More Information »
« Less Information
","14:40 Jul 21, 2015"
Ogling/Facial Expressions/Staring,"Imadol, Nepal"," When I was walking to my home a truck passed slowly by my side then a guy inside the truck made weird face,, whistled and commented me ""aunt...  
						  More Information »
« Less Information
","14:00 Jul 21, 2015"
Taking pictures,"Jijamata Nagar, Ambapada, Mahul, Trombay, Mumbai, Maharashtra 400074"," Happened to a girl who married someone outside her community. The boy from her community tried to throw acid on her.  
						  More Information »
« Less Information
","17:00 Jul 20, 2015"
Touching /Groping,Mumbai," I was on the bus going to college and a man started ruffing his crotch on my shoulder.  
						  More Information »
« Less Information
","07:00 Jul 20, 2015"
Catcalls/Whistles,Mumbai," A man tried to get into the women's compartment in the train and was commenting and tried to feel other women.  
						  More Information »
« Less Information
","17:00 Jul 19, 2015"
Sexual Invites,"Ratna Park Path, Kathmandu 44600, Nepal"," When I was waiting for my brother in law, some unknown guy asked me to go with him.  
						  More Information »
« Less Information
","12:33 Jul 19, 2015"
Catcalls/Whistles,"लायन्स प्रतिक्षालय, बौद्ध सडक, गोकर्णेश्वर 44600, Nepal"," one day while i was walking on the way to my home and it was dark already there was group of boys who started flirting me i was too scared and...  
						  More Information »
« Less Information
","22:00 Jul 18, 2015"
Ogling/Facial Expressions/Staring,"Narayanhiti, Kathmandu 44600, Nepal"," I was showed bad facial expression by a boy. He was showing bad and rough kind of expression.  
						  More Information »
« Less Information
","18:00 Jul 18, 2015"
Catcalls/Whistles,"Sunakothi, 44700, Nepal"," I was walking home alone a group of girls teased me.  
						  More Information »
« Less Information
","17:00 Jul 18, 2015"
Stalking,"Krishna Mandir, F072, Mahalaxmi, Nepal"," the conductor of the bus from were we the group of girls had traveled followed  us till krishna temple @ patan  
						  More Information »
« Less Information
","17:00 Jul 18, 2015"
Taking pictures,"Basantapur, Kathmandu 44600, Nepal"," Me and my friend were sitting in Basantapur. Some unknown guys took our picture.  
						  More Information »
« Less Information
","16:30 Jul 18, 2015"
Catcalls/Whistles,"Sunakothi, 44700, Nepal"," Once I was going to shop and some neighbors teased me. They commented me.  
						  More Information »
« Less Information
","16:00 Jul 18, 2015"
Stalking,"Narayanhiti, Kathmandu 44600, Nepal"," On the day when I was walking with my friends. some boys followed us.  
						  More Information »
« Less Information
","14:00 Jul 18, 2015"
Commenting,"Maligaon, Kathmandu 44600, Nepal"," My seniors in my school bully me. they laugh at me.  
						  More Information »
« Less Information
","14:00 Jul 18, 2015"
Stalking,"Kathmandu 44600, Nepal"," when me and my friend was walking on the way one boy followed us.  
						  More Information »
« Less Information
","20:00 Jul 17, 2015"
Touching /Groping,"Mumbai, Maharashtra, India"," A neighbour tried to kiss me and acted as though it was normal to do so  
						  More Information »
« Less Information
","18:00 Jul 17, 2015"
Catcalls/Whistles,"Gongabu, 44600, Nepal"," two boys commented on me and my sister while we were returning home from the market  
						  More Information »
« Less Information
","16:02 Jul 17, 2015"
Touching /Groping,"Girgaon, Mumbai, Maharashtra, India"," third person touhes me for the money  
						  More Information »
« Less Information
","16:00 Jul 17, 2015"
Catcalls/Whistles,"Andheri Mumbai, Maharashtra, India"," Boys comment about me among themselves in college  
						  More Information »
« Less Information
","15:00 Jul 17, 2015"
Catcalls/Whistles,Mumbai," A group of boys blowing whistles and commenting in college.  
						  More Information »
« Less Information
","15:00 Jul 17, 2015"
Catcalls/Whistles,Mumbai," A group of boys were blowing whistles and commenting outside college.  
						  More Information »
« Less Information
","15:00 Jul 17, 2015"
Catcalls/Whistles,"Kimdol, Kathmandu 44600, Nepal"," When I along with some of my friends were visiting the Swoyambhunath, some boys teased us by whistling.  
						  More Information »
« Less Information
","15:00 Jul 17, 2015"
Commenting,Mumbai," My friend was at the bus stop and a few boys started commenting.  
						  More Information »
« Less Information
","07:00 Jul 17, 2015"
Stalking,"Kathmandu 44600, Nepal"," When I was walking in the street there were group of boys who followed  me as well as commented me with vulgar words.  
						  More Information »
« Less Information
","18:20 Jul 16, 2015"
Catcalls/Whistles,"Mohammed Ali Rd, Mandvi, Mumbai, Maharashtra, India"," a man rolled some paper and threw at me and then whistled and when i saw him he said sorry sorry by mistake i threw the paper on you.  
						  More Information »
« Less Information
","17:00 Jul 16, 2015"
Catcalls/Whistles,"Krishna Mandir, F072, Mahalaxmi, Nepal"," when i was returning home from  my sister's home i faced with gang of boys, they started whistling and commenting on me i just stared at them...  
						  More Information »
« Less Information
","17:00 Jul 16, 2015"
Catcalls/Whistles,"Kishan Garh, Idgah Colony, Agra, Uttar Pradesh, India"," Indecent Comment passed right outside my home.  
						  More Information »
« Less Information
","16:00 Jul 16, 2015"
Ogling/Facial Expressions/Staring,Lokhandwala market," I was harassed publicly in Lokhandwala during the afternoon on a quite part of the road. Noone said a word and when I tried to confront the...  
						  More Information »
« Less Information
","15:00 Jul 16, 2015"
Stalking,"Godamchaur, Nepal"," i was chased by group of boys it was scary and i finally manages to came out from there  
						  More Information »
« Less Information
","14:00 Jul 16, 2015"
Ogling/Facial Expressions/Staring,"Block H, Lajpat Nagar III, Lajpat Nagar, New Delhi, Delhi 110024, India"," few months back, my maid had gone to our usual drycleaner. the dry cleaner inappropriately asked her to join him in the house, she insisted...  
						  More Information »
« Less Information
","19:00 Jul 15, 2015"
Touching /Groping,"Arla Keri Bus Stop, Kerim, Goa 403401, India"," While I was travelling in a bus from Ponda to Keri, the conductor of that bus touched my breast while the bus was full of passengers  
						  More Information »
« Less Information
","18:00 Jul 15, 2015"
Ogling/Facial Expressions/Staring,"Jaitala Bus Station, Jaitala Bus Stop Rd, Trimurti Nagar, Nagpur, Maharashtra 440036, India"," a friend of mine was followed by a person  
						  More Information »
« Less Information
","18:00 Jul 15, 2015"
Commenting,Mumbai," This happened with a friend while she was with her friends.  
						  More Information »
« Less Information
","16:00 Jul 15, 2015"
Stalking,"Basundhara, Ring Road, Kathmandu 44600, Nepal"," One day my aunt was going to market, some boys follwed her.  
						  More Information »
« Less Information
","15:00 Jul 15, 2015"
Commenting,"Netaji Subash Place, Shakurpur, New Delhi, Delhi 110034, India"," I was walking with a guy and 2 guys commented on us.  
						  More Information »
« Less Information
","15:00 Jul 15, 2015"
Commenting,"Shyam Nagar, Jogeshwari East, Mumbai, Maharashtra, India"," Comments were passed at me in the lanes in my community, after which I changed my route  
						  More Information »
« Less Information
","14:00 Jul 15, 2015"
Commenting,"Lower Parel, Mumbai"," A friend and I were watching a video on our phone together on the train platformm, a man comes up to us and stares at the screen and when we...  
						  More Information »
« Less Information
","12:00 Jul 15, 2015"
